datetime,07BE001,07DD001,07DA001,07DA018,07DA040,07DA033,07CE013,07CE002,07CE007,07CD005,07CD001,07DB002,07DB003,07DA038,07DA039,07DA032,07DA041,07DC001,07DC003,07CE008,07CD004,07CD008,07CD009,07CB002,07DA027,07CE005,07DA026,07DA030,07DB006,07DB001,07DC004,07DA035,07DA029,07DA028,07DA008,07DA034,07CE003,07DA007,07DA042,07DA044,07DA006,07CE010,07DA037,07DA045,07CE001,07DA024,07DA023,07DA025
2025-01-01 12:00:00,1.0763044,1.0422356,1.017747,1.0214616,1.0970668,0.9549001,0.9053149,0.7547324,0.9231792,1.4161363,1.2021469,0.7543417,0.7806053,1.4212813,1.1521158,1.1406525,1.0003394,1.5144213,1.496091,1.0697054,1.161138,1.213861,1.1739862,0.8365447,1.5012188,0.6899766,1.2829028,1.423091,0.651003,0.7012851,1.2253823,1.3529834,1.3355501,1.394,1.3244376,1.520875,0.65128845,1.0457001,1.1434108,1.3814002,1.3631544,0.67214996,1.1395,1.0985,1.1313751,1.45855,1.1032292,1.3215001
2025-01-02 12:00:00,0.17984973,0.30540812,0.28757814,0.4145962,0.3648,0.39195004,0.5598982,0.5451118,0.52986854,0.3593518,0.43539792,0.38575,0.43061185,0.42918754,0.39888892,0.40041107,0.34774998,0.4267824,0.4100864,0.5160804,0.5397759,0.6319444,0.37931252,0.5731519,0.4296875,0.5656485,0.41287503,0.4163864,0.41780657,0.416585,0.38838235,0.40946668,0.40377498,0.40527943,0.4115764,0.421875,0.47888467,0.41255,0.3812143,0.42985833,0.42675737,0.58455,0.34997502,0.3755625,0.5585625,0.42067498,0.37820837,0.52568185
2025-01-03 12:00:00,0.12785053,0.09427067,0.101896286,0.012990385,0.03255,0.0274125,0.03476389,0.043077942,0.042875648,0.073382564,0.06057918,0.021362502,0.02631579,0.041250005,0.032101855,0.031730935,0.027839286,0.062618054,0.06317727,0.030142859,0.027185345,0.03213889,0.0459375,0.047044642,0.05357813,0.04650391,0.035034724,0.052056823,0.022840776,0.02316875,0.047227945,0.04721667,0.051750004,0.055213235,0.04376389,0.059843753,0.03302885,0.013825001,0.033589285,0.04825417,0.04499265,0.04944167,0.031187499,0.03067969,0.029765626,0.053712506,0.042052086,0.03925
2025-01-04 12:00:00,0.18204302,0.11299974,0.12101216,0.08038462,0.035000004,0.08570001,0.028629629,0.028429413,0.017177835,0.019580645,0.019019723,0.10188333,0.15380265,0.0618125,0.1025,0.10004237,0.05657143,0.026703706,0.032845456,0.015928572,0.03148276,0.026444446,0.026166668,0.048946433,0.0508125,0.014453125,0.064222224,0.05131818,0.09722025,0.09466001,0.037058823,0.05476667,0.0428,0.039235298,0.052916672,0.039833337,0.01573077,0.0799,0.024321428,0.046350002,0.050205883,0.016400002,0.0978,0.09156251,0.01928125,0.0497,0.04029167,0.16968183
2025-01-05 12:00:00,0.25577688,0.77775514,0.6537822,1.2026347,1.5488167,1.78265,1.6176759,1.6610764,1.3702141,0.9273932,1.1176549,1.8388001,1.5811119,1.8254063,1.6189629,1.6470721,1.5040358,1.5319214,1.3365545,1.373259,1.2513276,1.5113611,1.0903543,1.5088662,1.9226563,1.6460079,1.7597363,1.9360226,1.4670864,1.5293525,1.8528382,1.9348667,1.8964374,1.8858236,1.8155836,1.8955002,1.6881924,1.2347667,1.6112679,1.4778417,1.4989854,1.8370167,1.5645,1.7057501,1.3780782,1.9299749,1.8237084,1.4705682
2025-01-06 12:00:00,0.39666831,0.26498154,0.286445,0.123884626,0.06936666,0.089975014,0.033425923,0.029832354,0.061402064,0.27641228,0.18529874,0.14585835,0.1525658,0.0689375,0.12541205,0.12274577,0.07748215,0.11031018,0.09327273,0.06835715,0.09202587,0.05138889,0.053812504,0.041366074,0.08903126,0.027640626,0.07718056,0.093954556,0.14550298,0.1426125,0.0867647,0.091333345,0.097950004,0.10001471,0.0882639,0.1103125,0.018134616,0.12233334,0.06757143,0.06571667,0.07040442,0.025449999,0.112775005,0.107375,0.07584375,0.09320001,0.07510417,0.12918183
2025-01-07 12:00:00,0.026283871,0.061517436,0.06408238,0.040615384,0.010566668,0.0384,0.05792592,0.08907647,0.061582476,0.16693549,0.123569615,0.0688,0.07476316,0.027125001,0.060083337,0.058855932,0.018642858,0.060453705,0.100727275,0.020767858,0.024948277,0.03588889,0.058777783,0.104339294,0.030750003,0.09687501,0.024472224,0.027999999,0.05877976,0.058975,0.011117647,0.0261,0.020625,0.019382354,0.023805555,0.023125,0.06761539,0.03916667,0.00825,0.037900005,0.036544114,0.11636667,0.051500004,0.0511875,0.022531252,0.02835,0.0109583335,0.07609091
2025-01-08 12:00:00,0.33456266,0.17258875,0.19436522,0.007096154,0.017783334,0.041775007,0.0034444446,0.0023,0.003398196,0.025061492,0.015751742,0.018500002,0.026105266,0.117031254,0.034652777,0.036097463,0.016446428,0.03126158,0.028754547,0.008339287,0.013172415,0.009805556,0.03327778,0.0031785716,0.13968751,0.0011796876,0.09763888,0.13695456,0.012970237,0.0162625,0.078250006,0.13041668,0.10470001,0.10736765,0.09570834,0.111999996,9.615385e-05,0.010749999,0.0071250005,0.07750834,0.07563971,0.0012833333,0.029174998,0.038687505,0.0102343755,0.13947502,0.08425,0.06752273
2025-01-09 12:00:00,0.28338256,0.26677984,0.2584795,0.00042307697,0.0137,0.000825,0.00875,0.004311765,0.007877577,0.6447369,0.37383184,7.5e-05,0.005236842,0.23312502,0.014064815,0.012872882,0.005446429,0.72223157,0.67413634,0.008321429,0.0056120693,0.013972223,0.15440279,0.0043482143,0.41753128,0.0009765625,0.08591667,0.33763638,0.0023690478,0.001995,0.14435294,0.26065,0.30345002,0.35602942,0.21395141,0.49343753,0.0035576923,0.00058333337,0.030089287,0.20460002,0.18249264,0.0008,0.003525,0.002203125,0.011062501,0.36975002,0.036020834,0.027704548
2025-01-10 12:00:00,0.4539269,1.5257701,1.1161263,4.427231,5.0777,4.52575,2.1237593,1.3472325,2.060902,2.762248,2.4245605,4.471842,4.144652,5.209469,4.2228384,4.249246,4.6769824,3.9597688,3.7660546,3.2908576,3.170526,2.5249166,3.482153,1.3802592,4.772594,0.91091406,5.2467227,4.748364,3.879194,3.983603,4.9881177,4.8408,4.79955,4.826588,4.99941,4.582605,1.6798078,4.503134,5.1120534,4.8434505,4.88789,0.6633001,4.394475,4.4384847,3.0613284,4.7614,5.249396,4.0665684
