ID,STATION,Full Record Start,RAMP Record,Add RAMP Mean,GDA,CS,2019 CS,2020 CS,Alternative,Has SHP,Has Updated SHP
07BE001,ATHABASCA RIVER AT ATHABASCA,1913,,,74600,3060330,,,,X,
07CB002,HOUSE RIVER AT HIGHWAY NO. 63,1982,,,781,May Auto,,,,X,X
07CD001,CLEARWATER RIVER AT DRAPER,1930,,,30800,Christina Lake near Winefred Lake,,,,X,X
07CD004,HANGINGSTONE RIVER AT FORT MCMURRAY,1965,,,962,3062697,,,,X,X
07CD005,CLEARWATER RIVER ABOVE CHRISTINA RIVER,1966,,,17000,Gordon Lake Lookout,,,,X,X
07CD008,HANGINGSTONE RIVER AT NORTH STAR ROAD,2002,2002 - 2016,2015,113,Leismer Auto,Algar Auto,,,X*,X
07CD009,HIGH HILL RIVER NEAR THE MOUTH,2012,2012 - 2016,2015,1360,Gordon Lake Lookout,,,,X*,X
07CE001,GREGOIRE LAKE NEAR FORT MCMURRAY,1969,,,262,3062697,,,,X*,
07CE002,CHRISTINA RIVER NEAR CHARD,1982,,,4860,Christina Lake near Winefred Lake,,,,X,X
07CE003,PONY CREEK NEAR CHARD,1982,,,279,Christina Lake near Winefred Lake,,,,X,X
07CE005,JACKFISH RIVER BELOW CHRISTINA LAKE,1982,2012 - 2016,"2015, 2016",1290,Christina Lake near Winefred Lake,,,,X*,X
07CE007,CHRISTINA RIVER NEAR THE MOUTH,2011,2011 - 2016,"2012, 2015, 2016 ",13200,Christina Lake near Winefred Lake,,,,X*,X
07CE008,GREGOIRE RIVER NEAR THE MOUTH,2012,2012 - 2016,2015,1000,3062697,,,,X*,X
07CE010,SUNDAY CREEK ABOVE CHRISTINA LAKE,2012,2012 - 2015,2013,365,Christina Lake near Winefred Lake,,,,X*,X
07CE013,CHRISTINA RIVER ABOVE STATOIL LEISMER,2013,2013 - 2016,"2015, 2016",1030,Leismer Auto,,,,X*,X
07DA001,ATHABASCA RIVER BELOW FORT MCMURRAY,1957,,,133000,3062697,,,,X,
07DA006,STEEPBANK RIVER NEAR FORT MCMURRAY,1972,,,1320,Steepbank,,,,X,X
07DA007,POPLAR CREEK NEAR FORT MCMURRAY,1972,1996 - 2016,"2015, 2016",151,3064528,,,,X*,X
07DA008,MUSKEG RIVER NEAR FORT MACKAY,1974,,,1460,Aurora,,,,X,X
07DA018,BEAVER RIVER ABOVE SYNCRUDE,1975,,,165,3064528,,,,X,X
07DA023,MCCLELLAND LAKE AT EAST END,1997,1997 - 2016,,210,C4,,,,X*,X
07DA024,KEARL LAKE AT CANTERRA ROAD,2017,,,81,Aurora,,,,X*,X
07DA025,NAMUR LAKE NEAR THE OUTLET,2012,2012 - 2016,,179,JP201,Ells River Auto,,,X*,X
07DA026,JACKPINE CREEK AT CANTERRA ROAD,1995,1995 - 2016,"2008, 2011, 2012, 2013, 2015",343,Aurora,,,,X*,X
07DA027,IYINIMIN CREEK ABOVE KEARL LAKE,1989,1989 - 2016,,43,Aurora,,,,X*,X
07DA028,MUSKEG RIVER ABOVE STANLEY CREEK,2003,2003 - 2016,"2004-2013,2015",440,Aurora,,,,X*,X
07DA029,MUSKEG RIVER ABOVE MUSKEG CREEK,1995,1995 - 2016,"2000-2003,2005,2007,2010-2012",567,Aurora,,,,X*,X
07DA030,KEARL LAKE OUTLET,1989,1989 - 2016,"2013, 2015, 2016",83,Aurora,,,,X*,X
07DA032,ELLS RIVER AT CANADIAN NATURAL RESOURCES LIMITED BRIDGE,2004,2004 - 2016,"2009, 2010, 2012, 2013, 2015",2430,Horizon,Ells River Auto,,,X*,X
07DA033,CALUMET RIVER NEAR THE MOUTH,2001,2001 - 2016,,175,Horizon,,,Muskeg Mountain,X*,X
07DA034,MUSKEG RIVER UPLAND,2001,2001 - 2016,,150,Aurora,,,,X*,X
07DA035,MUSKEG CREEK NEAR THE MOUTH,1989,1989 - 2016,2013 2016,322,Aurora,,,,X*,X
07DA037,TAR RIVER ABOVE CANADIAN NATURAL RESOURCES LIMITED LAKE,2005,2005 - 2016,"2010-2013,2015,2016",143,Horizon,,,,X*,X
07DA038,EAST JACKPINE CREEK NEAR THE 1300 FT CONTOUR,2007,2007 - 2016,,45,Steepbank,,,,X*,X
07DA039,ELLS RIVER ABOVE JOSLYN CREEK DIVERSION,2009,2009 - 2016,2010 2013,2260,Horizon,Ells River Auto,,,X*,X
07DA040,BIG CREEK NEAR THE MOUTH,2011,2011 - 2016,,323,C4,Birch Mountain Auto,,,X*,X
07DA041,EYMUNDSON CREEK NEAR THE MOUTH,2011,2011 - 2016,,319,C4,,,,X*,X
07DA042,RED CLAY CREEK NEAR THE MOUTH,2011,2011 - 2016,,,JP107,Birch Mountain Auto,,,X*,X
07DA044,STEEPBANK RIVER BELOW NORTH STEEPBANK RIVER,2014,2014 - 2016,,1180,3062697,Muskeg Mountain Auto,,,X*,X
07DA045,TAR RIVER NEAR THE MOUTH,2007,2007 - 2016,,320,Horizon,,,,X*,X
07DB001,MACKAY RIVER NEAR FORT MACKAY,1972,,,5570,3064528,,,,X*,X
07DB002,DOVER RIVER NEAR THE MOUTH,1975,2012 - 2016,"2015, 2016",963,3064528,,,,X*,X
07DB003,DUNKIRK RIVER NEAR FORT MACKAY,1975,2012 - 2016,,1570,Dunkirk Auto,,,,X*,X
07DB006,MACKAY RIVER AT PETRO-CANADA BRIDGE,2008,2008 - 2016,"2010-2013,2015,2016",4130,Dunkirk Auto,,,,X*,X
